,postcode,borough,neighbourhood_list,latitude,longitude,merge_key,name,ven_categories,ven_latitude,ven_longitude,ven_postalcode
0,M5X,Downtown Toronto,"First Canadian Place,Underground city",43.6484292,-79.3822802,97,Starbucks,Coffee Shop,43.645425,-79.522439,M8X 2X3
1,M5X,Downtown Toronto,"First Canadian Place,Underground city",43.6484292,-79.3822802,97,Gourmet Bakery (Islington Station),Bakery,43.64491852702881,-79.52471129398302,
2,M5X,Downtown Toronto,"First Canadian Place,Underground city",43.6484292,-79.3822802,97,Sobeys,Grocery Store,43.645726,-79.521369,M8X 2X9
3,M5X,Downtown Toronto,"First Canadian Place,Underground city",43.6484292,-79.3822802,97,Gojima,Japanese,43.6450937571191,-79.52167215350396,M8X 1E9
4,M5X,Downtown Toronto,"First Canadian Place,Underground city",43.6484292,-79.3822802,97,Lemongrass,Thai,43.64501004827513,-79.52237930103196,
5,M5X,Downtown Toronto,"First Canadian Place,Underground city",43.6484292,-79.3822802,97,A&W,Fast Food,43.645096,-79.522514,M8X 1G2
6,M5X,Downtown Toronto,"First Canadian Place,Underground city",43.6484292,-79.3822802,97,A&W,Fast Food,43.64536,-79.521563,M8X 2X4
7,M5X,Downtown Toronto,"First Canadian Place,Underground city",43.6484292,-79.3822802,97,Thai Express,Thai,43.645427,-79.522446,M8X 2X3
8,M5X,Downtown Toronto,"First Canadian Place,Underground city",43.6484292,-79.3822802,97,Second Cup,Coffee Shop,43.64533056349981,-79.52275256405419,M8X 2W8
9,M5X,Downtown Toronto,"First Canadian Place,Underground city",43.6484292,-79.3822802,97,Subway,Sandwiches,43.64501417215867,-79.52216600316655,
10,M5X,Downtown Toronto,"First Canadian Place,Underground city",43.6484292,-79.3822802,97,GoodLife Fitness,Gym,43.64554,-79.522255,M8X 2X2
11,M5X,Downtown Toronto,"First Canadian Place,Underground city",43.6484292,-79.3822802,97,Tim Hortons,Coffee Shop,43.64527816413406,-79.52236337301633,M8Z 5B5
12,M5X,Downtown Toronto,"First Canadian Place,Underground city",43.6484292,-79.3822802,97,Mitzie's Jerk,Caribbean,43.6452148372177,-79.52141242658975,M8X 1E9
13,M5X,Downtown Toronto,"First Canadian Place,Underground city",43.6484292,-79.3822802,97,Pizza Pizza,Pizza,43.64495916856127,-79.52246841231887,M8X 1G2
14,M5X,Downtown Toronto,"First Canadian Place,Underground city",43.6484292,-79.3822802,97,Orwell's,Pub,43.64488496919141,-79.52312559497283,M8X 1G2
15,M5X,Downtown Toronto,"First Canadian Place,Underground city",43.6484292,-79.3822802,97,Squire & Firkin,Pub,43.645231296334295,-79.52124579478895,M8X 1E9
16,M5X,Downtown Toronto,"First Canadian Place,Underground city",43.6484292,-79.3822802,97,Freshii,Gluten-free,43.645411282104604,-79.52263814541413,M8X 2X2
17,M5X,Downtown Toronto,"First Canadian Place,Underground city",43.6484292,-79.3822802,97,Sushi Express,Sushi,43.645432647801336,-79.52557525452383,
0,M8X,Etobicoke,"The Kingsway,Montgomery Road,Old Mill North",43.653653600000005,-79.5069436,98,Trattoria Leonardo,Italian,43.65289339411601,-79.52529976414611,
1,M8X,Etobicoke,"The Kingsway,Montgomery Road,Old Mill North",43.653653600000005,-79.5069436,98,Montgomery's Inn Museum,History Museum,43.651831023293425,-79.525597213862,
2,M8X,Etobicoke,"The Kingsway,Montgomery Road,Old Mill North",43.653653600000005,-79.5069436,98,Kingsway Offleash Dig Park,Dog Run,43.651777088181596,-79.51748287861362,
3,M8X,Etobicoke,"The Kingsway,Montgomery Road,Old Mill North",43.653653600000005,-79.5069436,98,Lenny's,Italian,43.65275282508091,-79.52551486631664,
0,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001,99,COBS Bread,Bakery,43.664940367690775,-79.5204847956449,M9A 3T7
1,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001,99,Shoppers Drug Mart,Pharmacy,43.661721,-79.518881,M9A 3T7
2,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001,99,Humbertown Convenience,Convenience Store,43.66492858170565,-79.52048054521903,
3,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001,99,TTC Stop #6972,Bus Stop,43.666139,-79.519814,
4,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001,99,Humber Valley Rink,Skating Rink,43.66482600084906,-79.5248725529118,
5,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001,99,Humber Valley Park,Park,43.66482484362267,-79.52499882000663,
6,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001,99,Loblaws,Grocery Store,43.661721,-79.518881,M9A 3T7
7,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001,99,Daisaky,Japanese,43.66237993188327,-79.51967349081686,
8,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001,99,Baskin-Robbins,Ice Cream,43.661654485684906,-79.51919035279421,M9A
0,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,100,COBS Bread,Bakery,43.664940367690775,-79.5204847956449,M9A 3T7
1,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,100,Shoppers Drug Mart,Pharmacy,43.661721,-79.518881,M9A 3T7
2,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,100,Bulk Barn,Supermarket,43.66093887342527,-79.51777280977804,
3,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,100,LCBO,Liquor Store,43.66129764810834,-79.51815020642661,M9A 3T6
4,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,100,Loblaws,Grocery Store,43.661721,-79.518881,M9A 3T7
5,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,100,Humbertown Shopping Centre,Mall,43.66179660557881,-79.51686144733992,M9A 3T7
6,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,100,Black's Photography,Camera Store,43.661490294225544,-79.51931662775152,M9A 3T7
7,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,100,Humbertown Village Spa,Spa,43.661428039626685,-79.5192891766887,M9A 3T7
8,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,100,Baskin-Robbins,Ice Cream,43.661654485684906,-79.51919035279421,M9A
9,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,100,Daisaky,Japanese,43.66237993188327,-79.51967349081686,
10,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,100,Alex Farm Produce,Restaurant,43.66152815366217,-79.51889937070585,
11,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,100,Humbertown Convenience,Convenience Store,43.66492858170565,-79.52048054521903,
12,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,100,Humber Valley Rink,Skating Rink,43.66482600084906,-79.5248725529118,
13,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,100,TTC Stop #6972,Bus Stop,43.666139,-79.519814,
14,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,100,Humber Valley Park,Park,43.66482484362267,-79.52499882000663,
0,M8Y,Etobicoke,"Humber Bay,King's Mill Park,Kingsway Park South East,Mimico NE,Old Mill South,The Queensway East,Royal York South East,Sunnylea",43.6362579,-79.49850909999999,101,Power Yoga Canada Etobicoke,Yoga Studio,43.63659220688171,-79.52031160065043,
1,M8Y,Etobicoke,"Humber Bay,King's Mill Park,Kingsway Park South East,Mimico NE,Old Mill South,The Queensway East,Royal York South East,Sunnylea",43.6362579,-79.49850909999999,101,TD Canada Trust,Bank,43.63378641956479,-79.51964914798737,M8Z 4R6
2,M8Y,Etobicoke,"Humber Bay,King's Mill Park,Kingsway Park South East,Mimico NE,Old Mill South,The Queensway East,Royal York South East,Sunnylea",43.6362579,-79.49850909999999,101,Tim Hortons,Coffee Shop,43.63597324207715,-79.52059663832193,M8Z 4R9
3,M8Y,Etobicoke,"Humber Bay,King's Mill Park,Kingsway Park South East,Mimico NE,Old Mill South,The Queensway East,Royal York South East,Sunnylea",43.6362579,-79.49850909999999,101,Rocco's Plum Tomato,Italian,43.63489813442689,-79.51995120245513,
4,M8Y,Etobicoke,"Humber Bay,King's Mill Park,Kingsway Park South East,Mimico NE,Old Mill South,The Queensway East,Royal York South East,Sunnylea",43.6362579,-79.49850909999999,101,Second Cup,Café,43.63426233887402,-79.51985408011149,M8Z 4R6
5,M8Y,Etobicoke,"Humber Bay,King's Mill Park,Kingsway Park South East,Mimico NE,Old Mill South,The Queensway East,Royal York South East,Sunnylea",43.6362579,-79.49850909999999,101,Rainbow Convenience,Convenience Store,43.63590105720199,-79.5204635546415,
6,M8Y,Etobicoke,"Humber Bay,King's Mill Park,Kingsway Park South East,Mimico NE,Old Mill South,The Queensway East,Royal York South East,Sunnylea",43.6362579,-79.49850909999999,101,Fresh & Tasty,Deli / Bodega,43.63589907120153,-79.5205341075108,M8Z
7,M8Y,Etobicoke,"Humber Bay,King's Mill Park,Kingsway Park South East,Mimico NE,Old Mill South,The Queensway East,Royal York South East,Sunnylea",43.6362579,-79.49850909999999,101,Tom Riley Park,Park,43.63897185621175,-79.5255643804047,
8,M8Y,Etobicoke,"Humber Bay,King's Mill Park,Kingsway Park South East,Mimico NE,Old Mill South,The Queensway East,Royal York South East,Sunnylea",43.6362579,-79.49850909999999,101,Armstrong & Nelson Eavestroughing,Home Services,43.637847,-79.515342,M8Z 2W1
0,M8Z,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor",43.6288408,-79.52099940000001,102,Wingporium,Wings,43.630275355081025,-79.51816911632163,M8Z 4P8
1,M8Z,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor",43.6288408,-79.52099940000001,102,South St. Burger,Burgers,43.63131374571208,-79.51840794740386,M8Z 6A4
2,M8Z,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor",43.6288408,-79.52099940000001,102,Dollarama,Discount Store,43.629883,-79.518627,M8Z 4P8
3,M8Z,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor",43.6288408,-79.52099940000001,102,Artisano Bakery Café,Bakery,43.63100591046913,-79.51817164574096,M8Z 6A4
4,M8Z,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor",43.6288408,-79.52099940000001,102,Healthy Planet,Supplement Shop,43.63021350898869,-79.51849539043684,M8Z 4P8
5,M8Z,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor",43.6288408,-79.52099940000001,102,7-Eleven,Convenience Store,43.6291072,-79.5174309,M8Z 4P8
6,M8Z,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor",43.6288408,-79.52099940000001,102,Subway,Sandwiches,43.63165898987162,-79.5190008585837,M8Z 6A4
7,M8Z,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor",43.6288408,-79.52099940000001,102,McDonald's,Fast Food,43.6300171,-79.5180371,M8Z 5X5
8,M8Z,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor",43.6288408,-79.52099940000001,102,No Frills,Grocery Store,43.631152,-79.518617,M8Z 6A4
9,M8Z,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor",43.6288408,-79.52099940000001,102,RONA,Hardware,43.6293926,-79.5183198,M8Z 4P8
10,M8Z,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor",43.6288408,-79.52099940000001,102,Royal Canadian Legion #210,Social Club,43.62885507709014,-79.51890264900013,M8Z 2H1
11,M8Z,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor",43.6288408,-79.52099940000001,102,Islington Florist & Nursery,Flower Shop,43.63015614347047,-79.51871819271057,
12,M8Z,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor",43.6288408,-79.52099940000001,102,Value Village,Thrift / Vintage,43.63126851470556,-79.51823830604553,M8Z 6A4
13,M8Z,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor",43.6288408,-79.52099940000001,102,Kingsway Boxing Club,Gym,43.627254438608404,-79.52668419449365,M8Z 2G6
14,M8Z,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor",43.6288408,-79.52099940000001,102,Burrito Boyz,Burritos,43.62665661432599,-79.52634931800284,
