,latitude,longitude,x,y,distance
0,42.23896828426692,-73.95140690870642,586516.7852150269,4676841.37809239,49996.093597399755
1,42.23868729652864,-73.92111176337562,589016.7852150269,4676841.37809239,49493.52861738549
2,42.23839830888934,-73.89081705663483,591516.7852150269,4676841.37809239,49113.230142192406
3,42.23810132167889,-73.86052280078776,594016.7852150269,4676841.37809239,48858.05332798224
4,42.2377963352363,-73.83022900813691,596516.7852150269,4676841.37809239,48729.963831301546
5,42.2374833499097,-73.7999356909836,599016.7852150269,4676841.37809239,48729.963831301546
6,42.23716236605636,-73.76964286162799,601516.7852150269,4676841.37809239,48858.05332798224
7,42.23683338404263,-73.73935053236892,604016.7852150269,4676841.37809239,49113.230142192406
8,42.236496404244015,-73.70905871550397,606516.7852150269,4676841.37809239,49493.52861738549
9,42.236151427045115,-73.67876742332942,609016.7852150269,4676841.37809239,49996.093597399755
10,42.2591320917749,-74.02684695402809,580266.7852150269,4679006.441601851,49729.738336330745
11,42.25887092786382,-73.99654143805388,582766.7852150269,4679006.441601851,48906.0003987233
12,42.25860175783291,-73.9662363303769,585266.7852150269,4679006.441601851,48197.9965869944
13,42.25832458198961,-73.9359316433178,587766.7852150269,4679006.441601851,47610.89029833325
14,42.25803940065048,-73.90562738919616,590266.7852150269,4679006.441601851,47149.19803135493
15,42.257746214141235,-73.8753235803304,592766.7852150269,4679006.441601851,46816.63032513045
16,42.25744502279665,-73.84502022903787,595266.7852150269,4679006.441601851,46615.950864483326
17,42.25713582696074,-73.8147173476347,597766.7852150269,4679006.441601851,46548.865453412756
18,42.256818626986565,-73.7844149484358,600266.7852150269,4679006.441601851,46615.950864483326
19,42.25649342323635,-73.75411304375488,602766.7852150269,4679006.441601851,46816.63032513045
20,42.256160216081454,-73.72381164590438,605266.7852150269,4679006.441601851,47149.19803135493
21,42.25581900590233,-73.69351076719538,607766.7852150269,4679006.441601851,47610.89029833325
22,42.255469793088615,-73.66321041993768,610266.7852150269,4679006.441601851,48197.9965869944
23,42.25511257803902,-73.63291061643973,612766.7852150269,4679006.441601851,48906.0003987233
24,42.254747361161385,-73.60261136900853,615266.7852150269,4679006.441601851,49729.738336330745
25,42.27900535301562,-74.07202002024967,576516.7852150269,4681171.505111312,49208.580298561516
26,42.27875602958036,-74.04170457700614,579016.7852150269,4681171.505111312,48181.78468051984
27,42.2784986941435,-74.01138952402762,581516.7852150269,4681171.505111312,47265.04390138632
28,42.27823334699908,-73.98107487365056,584016.7852150269,4681171.505111312,46464.872484490654
29,42.2779599884503,-73.95076063821037,586516.7852150269,4681171.505111312,45787.38226848065
30,42.27767861880952,-73.92044683004139,589016.7852150269,4681171.505111312,45238.08544799367
31,42.2773892383982,-73.89013346147686,591516.7852150269,4681171.505111312,44821.69536061724
32,42.277091847547,-73.85982054484894,594016.7852150269,4681171.505111312,44541.93950649182
33,42.276786446595686,-73.82950809248855,596516.7852150269,4681171.505111312,44401.400597278196
34,42.276473035893176,-73.79919611672544,599016.7852150269,4681171.505111312,44401.400597278196
35,42.276151615797545,-73.76888462988819,601516.7852150269,4681171.505111312,44541.93950649182
36,42.27582218667598,-73.73857364430405,604016.7852150269,4681171.505111312,44821.69536061724
37,42.2754847489048,-73.70826317229903,606516.7852150269,4681171.505111312,45238.08544799367
38,42.27513930286951,-73.67795322619779,609016.7852150269,4681171.505111312,45787.38226848065
39,42.274785848964704,-73.64764381832364,611516.7852150269,4681171.505111312,46464.872484490654
40,42.27442438759414,-73.61733496099853,614016.7852150269,4681171.505111312,47265.04390138632
41,42.274054919170695,-73.587026666543,616516.7852150269,4681171.505111312,48181.78468051984
42,42.27367744411634,-73.5567189472761,619016.7852150269,4681171.505111312,49208.580298561516
43,42.298861018293195,-74.11722168167002,572766.7852150269,4683336.568620773,49065.48557794926
44,42.29862355219033,-74.08689632833148,575266.7852150269,4683336.568620773,47840.06558314847
45,42.29837806822038,-74.05657134718146,577766.7852150269,4683336.568620773,46716.39835218407
46,42.298124566663944,-74.0262467505722,580266.7852150269,4683336.568620773,45701.989836329296
47,42.29786304781087,-73.99592255085489,582766.7852150269,4683336.568620773,44804.26179505635
48,42.29759351196009,-73.9655987603797,585266.7852150269,4683336.568620773,44030.351747402
49,42.29731595941972,-73.93527539149582,587766.7852150269,4683336.568620773,43386.88597952089
50,42.29703039050706,-73.9049524565513,590266.7852150269,4683336.568620773,42879.737347609145
51,42.29673680554853,-73.87462996789304,592766.7852150269,4683336.568620773,42513.78452925529
52,42.2964352048797,-73.84430793786689,595266.7852150269,4683336.568620773,42292.69292679229
53,42.29612558884533,-73.81398637881742,597766.7852150269,4683336.568620773,42218.73843449075
54,42.295807957799276,-73.78366530308804,600266.7852150269,4683336.568620773,42292.69292679229
55,42.295482312104625,-73.75334472302093,602766.7852150269,4683336.568620773,42513.78452925529
56,42.29514865213352,-73.72302465095693,605266.7852150269,4683336.568620773,42879.737347609145
57,42.29480697826733,-73.69270509923565,607766.7852150269,4683336.568620773,43386.88597952089
58,42.29445729089651,-73.66238608019532,610266.7852150269,4683336.568620773,44030.351747402
59,42.29409959042071,-73.63206760617278,612766.7852150269,4683336.568620773,44804.26179505635
60,42.293733877248684,-73.60174968950352,615266.7852150269,4683336.568620773,45701.989836329296
61,42.29336015179837,-73.57143234252159,617766.7852150269,4683336.568620773,46716.39835218407
62,42.2929784144968,-73.5411155775595,620266.7852150269,4683336.568620773,47840.06558314847
63,42.292588665780166,-73.51079940694835,622766.7852150269,4683336.568620773,49065.48557794926
